Year,Month,Day,Wind_direction,Wind Speed (Knots)
2001,1,1,18,1.3
2001,1,2,15,2.2
2001,1,3,11,1.3
2001,1,4,7,1.8
2001,1,5,7,0.7
2001,1,6,11,2.7
2001,1,7,17,1.8
2001,1,8,13,0.8
2001,1,9,10,1.0
2001,1,10,12,1.3
2001,1,11,11,1.5
2001,1,12,14,1.3
2001,1,13,11,1.3
2001,1,14,11,1.4
2001,1,15,11,2.0
2001,1,16,10,2.0
2001,1,17,9,1.4
2001,1,18,18,1.2
2001,1,19,9,1.0
2001,1,20,10,1.0
2001,1,21,7,0.9
2001,1,22,21,2.7
2001,1,23,13,1.7
2001,1,24,7,1.0
2001,1,25,8,0.5
2001,1,26,10,1.7
2001,1,27,11,1.1
2001,1,28,9,1.5
2001,1,29,8,1.1
2001,1,30,12,1.9
2001,1,31,8,0.5
2001,2,1,16,1.3
2001,2,2,6,1.3
2001,2,3,10,1.0
2001,2,4,6,1.1
2001,2,5,3,0.8
2001,2,6,13,0.9
2001,2,7,12,1.3
2001,2,8,13,1.6
2001,2,9,13,0.5
2001,2,10,6,0.5
2001,2,11,6,0.6
2001,2,12,7,1.0
2001,2,13,7,0.5
2001,2,14,12,0.9
2001,2,15,5,1.0
2001,2,16,13,0.6
2001,2,17,10,0.9
2001,2,18,7,1.4
2001,2,19,18,1.3
2001,2,20,17,1.1
2001,2,21,5,0.6
2001,2,22,9,0.5
2001,2,23,11,0.8
2001,2,24,7,0.7
2001,2,25,6,0.5
2001,2,26,7,2.0
2001,2,27,11,0.5
2001,2,28,7,1.3
2001,3,1,1,0.7
2001,3,2,1,1.8
2001,3,3,0,0.0
2001,3,4,1,0.5
2001,3,5,1,0.5
2001,3,6,1,0.8
2001,3,7,1,0.5
2001,3,8,1,0.5
2001,3,9,1,0.8
2001,3,10,1,0.8
2001,3,11,1,1.1
2001,3,12,1,0.8
2001,3,13,1,1.0
2001,3,14,1,1.1
2001,3,15,1,0.8
2001,3,16,1,0.5
2001,3,17,1,1.0
2001,3,18,0,0.3
2001,3,19,1,0.9
2001,3,20,1,1.0
2001,3,21,0,0.3
2001,3,22,0,0.4
2001,3,23,36,0.7
2001,3,24,1,0.5
2001,3,25,1,1.0
2001,3,26,1,1.0
2001,3,27,1,1.3
2001,3,28,1,0.7
2001,3,29,1,0.6
2001,3,30,1,0.7
2001,3,31,1,1.2
2001,4,1,11,1.0
2001,4,2,8,2.9
2001,4,3,7,1.5
2001,4,4,9,1.1
2001,4,5,6,1.5
2001,4,6,11,2.0
2001,4,7,2,1.3
2001,4,8,11,1.1
2001,4,9,11,1.3
2001,4,10,9,0.5
2001,4,11,17,1.4
2001,4,12,11,1.7
2001,4,13,12,1.5
2001,4,14,9,1.7
2001,4,15,5,1.7
2001,4,16,7,2.3
2001,4,17,1,1.7
2001,4,18,12,1.6
2001,4,19,12,1.7
2001,4,20,11,2.0
2001,4,21,9,1.8
2001,4,22,16,1.4
2001,4,23,9,1.6
2001,4,24,11,1.3
2001,4,25,10,1.4
2001,4,26,9,1.3
2001,4,27,10,1.5
2001,4,28,9,4.2
